id,name,red,green,blue,structure_order,parent_id,parent_acronym
699,Left_Agranular_insular_area_ventral_part_layer_6b,AIv6b,166,213,152,25100,119,AIv
702,Left_Primary_somatosensory_area_nose_layer_5,SSp-n5,102,195,154,3900,353,SSp-n
703,Left_Cortical_subplate,CTXsp,80,255,80,46400,688,CTX
704,Left_Agranular_insular_area_ventral_part_layer_1,AIv1,84,186,88,24700,119,AIv
705,Left_midbrain_tract_of_the_trigeminal_nerve,mtV,204,204,204,99900,229,sV
706,Left_Olivary_pretectal_nucleus,OP,255,176,245,82400,1100,PRT
707,Left_Infralimbic_area_layer_1,ILA1,0,137,72,8500,44,ILA
711,Left_Cuneate_nucleus,CU,255,177,177,90300,720,DCN
718,Left_Ventral_posterolateral_nucleus_of_the_thalamus,VPL,255,108,145,64100,709,VP
721,Left_Primary_visual_area_layer_4,VISp4,17,151,167,16500,385,VISp
725,Left_Ventral_posterolateral_nucleus_of_the_thalamus_parvicellular_part,VPLpc,255,108,146,64200,709,VP
728,Left_arbor_vitae,arb,204,204,204,105900,960,cbf
729,Left_Temporal_association_areas_layer_6a,TEa6a,102,170,157,28500,541,TEa
733,Left_Ventral_posteromedial_nucleus_of_the_thalamus,VPM,255,108,147,64300,709,VP
735,Left_Primary_auditory_area_layer_1,AUDp1,0,157,114,11400,1002,AUDp
741,Left_Ventral_posteromedial_nucleus_of_the_thalamus_parvicellular_part,VPMpc,255,108,148,64400,733,VPM
749,Left_Ventral_tegmental_area,VTA,255,178,246,80100,323,MBmot
750,Left_Posterolateral_visual_area_layer_1,VISpl1,0,180,205,17000,425,VISpl
753,Left_principal_mammillary_tract,pm,204,204,204,114400,46,mfbsma
754,Left_Olfactory_tubercle,OT,160,224,224,48600,493,STRv
755,Left_Ventral_auditory_area_layer_2/3,AUDv2/3,41,163,113,12900,1018,AUDv
757,Left_Ventral_tegmental_nucleus,VTN,255,177,250,83100,323,MBmot
759,Left_Posterior_auditory_area_layer_4,AUDpo4,61,170,158,12300,1027,AUDpo
763,Left_Vascular_organ_of_the_lamina_terminalis,OV,255,77,88,73000,141,PVR
765,Left_Nucleus_x,x,255,212,202,96400,370,MY-mot
767,Left_Secondary_motor_area_layer_5,MOs5,101,157,97,2400,993,MOs
771,Left_Pons,P,255,155,136,84700,1065,HB
772,Left_Anterior_cingulate_area_ventral_part_layer_5,ACAv5,155,207,122,19800,48,ACAv
773,Left_Hypoglossal_nucleus,XII,255,212,192,96500,370,MY-mot
774,Left_Retrosplenial_area_lateral_agranular_part_layer_5,RSPagl5,31,146,110,25600,894,RSPagl
776,Left_corpus_callosum,cc,204,204,204,106100,983,lfbs
778,Left_Primary_visual_area_layer_5,VISp5,60,163,177,16600,385,VISp
780,Left_Posterior_amygdalar_nucleus,PA,80,255,89,47800,703,CTXsp
781,Left_Nucleus_y,y,255,212,203,96600,370,MY-mot
783,Left_Agranular_insular_area_dorsal_part_layer_6a,AId6a,144,195,129,23800,104,AId
784,Left_corticospinal_tract,cst,204,204,204,106900,983,lfbs
786,Left_Temporal_association_areas_layer_6b,TEa6b,124,177,165,28600,541,TEa
788,Left_Piriform-amygdalar_area,PAA,160,255,169,36400,698,OLF
791,Left_Posterior_auditory_area_layer_5,AUDpo5,89,185,176,12400,1027,AUDpo
794,Left_spinal_tract_of_the_trigeminal_nerve,sptV,204,204,204,100000,229,sV
795,Left_Periaqueductal_gray,PAG,255,144,255,81500,323,MBmot
797,Left_Zona_incerta,ZI,255,79,87,78100,290,LZ
798,Left_facial_nerve,VIIn,204,204,204,100100,967,cm
800,Left_Agranular_insular_area_ventral_part_layer_5,AIv5,129,199,124,24900,119,AIv
802,Left_stria_medullaris,sm,204,204,204,115100,1083,mfbse
803,Left_Pallidum,PAL,160,200,176,51600,623,CNU
804,Left_Fields_of_Forel,FF,255,79,87,78300,797,ZI
805,Left_posteromedial_visual_area_layer_1,VISpm1,0,174,184,17700,533,VISpm
806,Left_Supplemental_somatosensory_area_layer_2/3,SSs2/3,0,180,135,7900,378,SSs
810,Left_Anterior_cingulate_area_ventral_part_6a,ACAv6a,167,212,136,19900,48,ACAv
814,Left_Dorsal_peduncular_area,DP,112,255,125,33000,698,OLF
816,Left_Primary_auditory_area_layer_4,AUDp4,37,164,125,11600,1002,AUDp
819,Left_Anterior_cingulate_area_ventral_part_6b,ACAv6b,178,217,152,20000,48,ACAv
821,Left_Primary_visual_area_layer_2/3,VISp2/3,0,148,159,16400,385,VISp
827,Left_Infralimbic_area_layer_5,ILA5,77,160,111,8800,44,ILA
830,Left_Dorsomedial_nucleus_of_the_hypothalamus,DMH,255,77,85,72400,141,PVR
831,Left_Agranular_insular_area_dorsal_part_layer_6b,AId6b,156,200,143,23900,104,AId
836,Left_Ectorhinal_area/Layer_1,ECT1,0,140,121,29400,895,ECT
838,Left_Primary_somatosensory_area_nose_layer_2/3,SSp-n2/3,44,183,128,3700,353,SSp-n
839,Left_Dorsal_motor_nucleus_of_the_vagus_nerve,DMX,255,212,184,93100,370,MY-mot
841,Left_trapezoid_body,tb,204,204,204,100800,948,cVIIIn
842,Left_Superior_colliculus_superficial_gray_layer,SCsg,255,152,250,78900,302,SCs
843,Left_Parasubiculum,PAR,129,255,160,44300,822,RHP
844,Left_Primary_motor_area_Layer_6a,MOp6a,120,188,130,1900,985,MOp
846,Left_Dentate_nucleus,DN,240,240,82,63200,519,CBN
847,Left_Primary_auditory_area_layer_5,AUDp5,71,178,145,11700,1002,AUDp
848,Left_optic_nerve,IIn,204,204,204,98300,967,cm
849,Left_Visceral_area_layer_6b,VISC6b,117,189,152,10400,677,VISC
851,Left_Superior_colliculus_optic_layer,SCop,255,152,250,78800,302,SCs
852,Left_Parvicellular_reticular_nucleus,PARN,255,212,196,94600,370,MY-mot
854,Left_Primary_somatosensory_area_upper_limb_layer_2/3,SSp-ul2/3,46,183,120,6500,369,SSp-ul
857,Left_Visceral_area_layer_6a,VISC6a,108,186,144,10300,677,VISC
859,Left_Parasolitary_nucleus,PAS,255,212,197,94700,370,MY-mot
862,Left_Supplemental_somatosensory_area_layer_6a,SSs6a,98,196,170,8200,378,SSs
863,Left_rubrospinal_tract,rust,204,204,204,109700,1000,eps
867,Left_Parabrachial_nucleus,PB,255,170,96,85400,1132,P-sen
869,Left_Posterolateral_visual_area_layer_4,VISpl4,0,181,223,17200,425,VISpl
872,Left_Dorsal_nucleus_raph,DR,255,158,252,84500,165,RAmb
873,Left_Supplemental_somatosensory_area_layer_1,SSs1,0,176,129,7800,378,SSs
874,Left_Parabigeminal_nucleus,PBG,255,152,252,79700,339,MBsen
877,Left_tectospinal_pathway,tsp,204,204,204,109300,1000,eps
878,Left_Primary_somatosensory_area_mouth_layer_1,SSp-m1,0,173,94,5700,345,SSp-m
880,Left_Dorsal_tegmental_nucleus,DTN,255,174,87,87200,987,P-mot
882,Left_Primary_motor_area_Layer_6b,MOp6b,143,196,143,2000,985,MOp
884,Left_amygdalar_capsule,amc,204,204,204,110700,768,mfbc
888,Left_Perirhinal_area_layer_2/3,PERI2/3,0,146,139,29200,922,PERI
889,Left_Primary_somatosensory_area_nose_layer_6a,SSp-n6a,123,202,170,4000,353,SSp-n
893,Left_Supplemental_somatosensory_area_layer_6b,SSs6b,121,202,179,8300,378,SSs
897,Left_Visceral_area_layer_1,VISC1,0,155,91,9900,677,VISC
898,Left_Pontine_central_gray,PCG,255,174,120,87400,987,P-mot
900,Left_anterior_commissure_olfactory_limb,aco,204,204,204,98200,840,In
902,Left_Posterolateral_visual_area_layer_5,VISpl5,2,190,215,17300,425,VISpl
903,Left_External_cuneate_nucleus,ECU,255,176,179,90500,386,MY-sen
905,Left_Anterolateral_visual_area_layer_2/3,VISal2/3,0,161,189,14300,402,VISal
906,Left_Retrosplenial_area_lateral_agranular_part_layer_6a,RSPagl6a,63,160,129,25700,894,RSPagl
907,Left_Paracentral_nucleus,PCN,255,132,132,68600,51,ILM
908,Left_anterior_commissure_temporal_limb,act,204,204,204,110900,768,mfbc
910,Left_Orbital_area_medial_part_layer_6a,ORBm6a,161,186,127,22500,731,ORBm
911,Left_trochlear_nerve,IVn,204,204,204,99300,967,cm
912,Left_Lingula_(I),LING,240,242,128,55000,645,VERM
914,Left_Posterodorsal_preoptic_nucleus,PD,255,77,89,73100,141,PVR
918,Left_Entorhinal_area_lateral_part,ENTl,128,255,145,41350,909,ENT
919,Left_Anterior_cingulate_area_dorsal_part_layer_6a,ACAd6a,157,199,128,19300,39,ACAd
920,Left_Central_lobule,CENT,240,242,128,55400,645,VERM
924,Left_cerebal_peduncle,cpd,204,204,204,107100,784,cst
926,Left_Entorhinal_area_medial_part_dorsal_zone,ENTm,128,255,146,42700,909,ENT
927,Left_Anterior_cingulate_area_dorsal_part_layer_6b,ACAd6b,168,203,142,19400,39,ACAd
928,Left_Culmen,CUL,240,242,128,56300,645,VERM
929,Left_Primary_somatosensory_area_nose_layer_6b,SSp-n6b,135,206,179,4100,353,SSp-n
930,Left_Parafascicular_nucleus,PF,255,130,132,68800,51,ILM
931,Left_Pontine_gray,PG,255,174,92,87500,987,P-mot
934,Left_Entorhinal_area_medial_part_ventral_zone,ENTmv,128,255,147,43700,909,ENT
935,Left_Anterior_cingulate_area_dorsal_part_layer_1,ACAd1,96,170,75,19000,39,ACAd
936,Left_Declive_(VI),DEC,240,242,128,57600,645,VERM
939,Left_Nucleus_ambiguus_dorsal_division,AMBd,255,212,216,92900,135,AMB
940,Left_cingulum_bundle,cing,204,204,204,111000,768,mfbc
943,Left_Primary_motor_area_Layer_2/3,MOp2/3,73,166,99,1700,985,MOp
944,Left_Folium-tuber_vermis_(VII),FOTU,240,242,128,58000,645,VERM
945,Left_Primary_somatosensory_area_upper_limb_layer_6a,SSp-ul6a,114,198,154,6800,369,SSp-ul
946,Left_Posterior_hypothalamic_nucleus,PH,255,79,83,77150,467,MEZ_
949,Left_vomeronasal_nerve,von,204,204,204,97500,967,cm
950,Left_Primary_somatosensory_area_mouth_layer_4,SSp-m4,66,185,120,5900,345,SSp-m
951,Left_Pyramus_(VIII),PYR,240,242,128,58400,645,VERM
952,Left_Endopiriform_nucleus_dorsal_part,EPd,81,255,87,46800,942,EP
954,Left_Primary_auditory_area_layer_6a,AUDp6a,93,184,160,11800,1002,AUDp
957,Left_Uvula_(IX),UVU,240,242,128,58800,645,VERM
959,Left_Ventral_auditory_area_layer_1,AUDv1,0,156,102,12800,1018,AUDv
961,Left_Piriform_area,PIR,160,255,167,33600,698,OLF
962,Left_Secondary_motor_area_layer_2/3,MOs2/3,83,152,86,2300,993,MOs
965,Left_Retrosplenial_area_lateral_agranular_part_layer_2/3,RSPagl2/3,0,142,105,25500,894,RSPagl
966,Left_Endopiriform_nucleus_ventral_part,EPv,82,255,87,46900,942,EP
968,Left_Nodulus_(X),NOD,240,242,128,59200,645,VERM
969,Left_Orbital_area_ventrolateral_part_layer_1,ORBvl1,0,140,71,22800,746,ORBvl
970,Left_Paragigantocellular_reticular_nucleus_dorsal_part,PGRNd,255,212,198,94900,938,PGRN
973,Left_Lateral_visual_area_layer_2/3,VISl23,0,159,165,15700,409,VISl
974,Left_Primary_somatosensory_area_mouth_layer_5,SSp-m5,92,191,133,6000,345,SSp-m
975,Left_Edinger-Westphal_nucleus,EW,255,178,253,82900,323,MBmot
977,Left_Ectorhinal_area/Layer_6a,ECT6a,80,165,156,29700,895,ECT
978,Left_Paragigantocellular_reticular_nucleus_lateral_part,PGRNl,255,212,198,95000,938,PGRN
980,Left_Dorsal_premammillary_nucleus,PMd,255,78,88,76000,467,MEZ_
981,Left_Primary_somatosensory_area_barrel_field_layer_1,SSp-bfd1,0,178,156,4300,329,SSp-bfd
982,Left_Fasciola_cinerea,FC,114,253,114,41000,1080,HIP
988,Left_Ectorhinal_area/Layer_5,ECT5,54,151,140,29600,895,ECT
989,Left_Fastigial_nucleus,FN,240,240,82,63000,519,CBN
990,Left_Ventral_auditory_area_layer_4,AUDv4,70,168,124,13000,1018,AUDv
996,Left_Agranular_insular_area_dorsal_part_layer_1,AId1,74,165,77,23500,104,AId
997,Left_root,root,255,255,255,0,,
998,Left_Fundus_of_striatum,FS,160,228,224,48500,493,STRv
1004,Left_Ventral_premammillary_nucleus,PMv,255,78,89,76100,467,MEZ_
1005,Left_Primary_auditory_area_layer_6b,AUDp6b,115,190,168,11900,1002,AUDp
1006,Left_Primary_somatosensory_area_trunk_layer_1,SSp-tr1,0,179,171,7100,361,SSp-tr
1007,Left_Simple_lobule,SIM,240,241,128,59700,1073,HEM
1009,Left_fiber_tracts,fiber_tracts,204,204,204,97200,997,root
1010,Left_Visceral_area_layer_4,VISC4,70,168,118,10100,677,VISC
1015,Left_Anterior_cingulate_area_dorsal_part_layer_5,ACAd5,137,183,108,19200,39,ACAd
1016,Left_olfactory_nerve_layer_of_main_olfactory_bulb,onl,204,204,204,97700,840,In
1017,Left_Ansiform_lobule,AN,240,241,128,60100,1073,HEM
1020,Left_Posterior_complex_of_the_thalamus,PO,255,134,130,65900,138,LAT
1021,Left_Secondary_motor_area_layer_6a,MOs6a,129,174,115,2500,993,MOs
1022,Left_Globus_pallidus_external_segment,GPe,160,216,177,51800,818,PALd
1023,Left_Ventral_auditory_area_layer_5,AUDv5,96,183,144,13100,1018,AUDv
1025,Left_Paramedian_lobule,PRM,240,241,128,61000,1073,HEM
1026,Left_Primary_somatosensory_area_upper_limb_layer_6b,SSp-ul6b,124,201,162,6900,369,SSp-ul
1029,Left_Posterior_limiting_nucleus_of_the_thalamus,POL,255,133,130,66000,138,LAT
1030,Left_Primary_somatosensory_area_lower_limb_layer_1,SSp-ll1,0,177,142,5000,337,SSp-ll
1031,Left_Globus_pallidus_internal_segment,GPi,160,216,178,51900,818,PALd
1033,Left_Copula_pyramidis,COPY,240,241,128,61400,1073,HEM
1035,Left_Supplemental_somatosensory_area_layer_4,SSs4,40,184,141,8000,378,SSs
1037,Left_Postsubiculum,POST,128,255,160,44700,822,RHP
1038,Left_Primary_somatosensory_area_barrel_field_layer_6a,SSp-bfd6a,117,203,197,4700,329,SSp-bfd
1039,Left_Gracile_nucleus,GR,255,177,178,90400,720,DCN
1041,Left_Paraflocculus,PFL,240,241,128,61800,1073,HEM
1044,Left_Peripeduncular_nucleus,PP,255,112,163,64900,864,DORsm
1045,Left_Ectorhinal_area/Layer_6b,ECT6b,101,171,165,29800,895,ECT
1046,Left_Anteromedial_visual_area_layer_6a,VISam6a,64,164,172,15300,394,VISam
1047,Left_Primary_somatosensory_area_barrel_field_layer_4,SSp-bfd4,66,191,179,4500,329,SSp-bfd
1048,Left_Gigantocellular_reticular_nucleus,GRN,255,212,187,93300,370,MY-mot
1049,Left_Flocculus,FL,240,241,128,62200,1073,HEM
1052,Left_Pedunculopontine_nucleus,PPN,255,158,255,83900,348,MBsta
1054,Left_Infralimbic_area_layer_6a,ILA6a,97,166,122,8900,44,ILA
1058,Left_Visceral_area_layer_5,VISC5,97,183,138,10200,677,VISC
1060,Left_doral_tegmental_decussation,dtd,204,204,204,109500,877,tsp
1061,Left_Posterior_pretectal_nucleus,PPT,255,176,244,82500,1100,PRT
1062,Left_Primary_somatosensory_area_barrel_field_layer_6b,SSp-bfd6b,143,211,208,4800,329,SSp-bfd
1066,Left_Anteromedial_visual_area_layer_2/3,VISam2/3,0,142,145,15000,394,VISam
1069,Left_Parapyramidal_nucleus,PPY,255,212,200,95600,370,MY-mot
1070,Left_Primary_somatosensory_area_barrel_field_layer_5_,SSp-bfd5,93,197,188,4600,329,SSp-bfd
1074,Left_Anterolateral_visual_area_layer_1,VISal1,0,160,181,14200,402,VISal
1077,Left_Perireunensis_nucleus,PR,255,144,160,67800,444,MED
1081,Left_Infralimbic_area_layer_6b,ILA6b,116,172,135,9000,44,ILA
1084,Left_Presubiculum,PRE,129,255,161,45100,822,RHP
1085,Left_Secondary_motor_area_layer_6b,MOs6b,139,178,127,2600,993,MOs
1086,Left_Primary_somatosensory_area_trunk_layer_4,SSp-tr4,63,192,187,7300,361,SSp-tr
1089,Left_Hippocampal_formation,HPF,144,255,176,37400,695,CTXpl
1090,Left_Supplemental_somatosensory_area_layer_5,SSs5,74,190,155,8100,378,SSs
1092,Left_external_medullary_lamina_of_the_thalamus,em,204,204,204,108100,896,lfbst
1093,Left_Pontine_reticular_nucleus_caudal_part,PRNc,255,174,85,87600,987,P-mot
1094,Left_Primary_somatosensory_area_lower_limb_layer_4,SSp-ll4,69,191,171,5200,337,SSp-ll
1097,Left_Hypothalamus,HY,255,105,110,70000,1129,IB
1098,Left_Medullary_reticular_nucleus_dorsal_part,MDRNd,255,212,195,94400,395,MDRN
1101,Left_Agranular_insular_area_dorsal_part_layer_5,AId5,114,177,110,23700,104,AId
1102,Left_Primary_somatosensory_area_mouth_layer_6a,SSp-m6a,115,197,146,6100,345,SSp-m
1105,Left_Intercalated_amygdalar_nucleus,IA,184,208,248,50700,278,sAMY
1106,Left_Visceral_area_layer_2/3,VISC2/3,42,163,106,10000,677,VISC
1107,Left_Medullary_reticular_nucleus_ventral_part,MDRNv,255,212,195,94500,395,MDRN
1109,Left_Parastrial_nucleus,PS,255,77,90,73200,141,PVR
1111,Left_Primary_somatosensory_area_trunk_layer_5,SSp-tr5,91,197,197,7400,361,SSp-tr
1113,Left_Interanterodorsal_nucleus_of_the_thalamus,IAD,255,144,159,66900,239,ATN
1114,Left_Anterolateral_visual_area_layer_4,VISal4,0,161,197,14400,402,VISal
1120,Left_Interanteromedial_nucleus_of_the_thalamus,IAM,255,136,129,66800,239,ATN
1123,Left_inferior_cerebellar_peduncle,icp,204,204,204,105100,752,cbp
1125,Left_Orbital_area_ventrolateral_part_layer_5,ORBvl5,72,150,98,23000,746,ORBvl
1126,Left_Tuberomammillary_nucleus_dorsal_part,TMd,255,78,86,75400,557,TM
1127,Left_Temporal_association_areas_layer_2/3,TEa2/3,0,145,121,28200,541,TEa
1128,Left_Primary_somatosensory_area_lower_limb_layer_5,SSp-ll5,96,196,179,5300,337,SSp-ll
1139,Left_Nucleus_of_the_lateral_olfactory_tract_layer_3,NLOT3,160,255,170,34500,619,NLOT
10703,Left_Dentate_gyrus_molecular_layer,DG-mo,114,250,114,39400,726,DG
10704,Left_Dentate_gyrus_polymorph_layer,DG-po,94,230,94,39500,726,DG
12001,Left_Primary_somatosensory_area_unassigned_layers_1-3,SSp-un_1-3,0,159,172,359,322,SSp
12002,Left_Primary_somatosensory_area_unassigned_layers_4-6,SSp-un_4-6,0,159,172,359,322,SSp
12003,Left_Anterior_area_layers_1-6,VISa_1-6,0,159,172,359,22,PTLp
12004,Left_Rostrolateral_visual_area_layers_1-6_,VISrl_1-6,0,159,172,359,22,PTLp
12005,Left_Laterointermediate_area_layers_1-6,VISli_1-6,0,159,172,359,669,VIS
12006,Left_Postrhinal_area_layers_1-6,VISpor_1-6,0,159,172,359,669,VIS
12007,Left_Frontal_pole_layers_5-6a,FRP_5-6A,0,159,172,359,184,FRP
12008,Left_Frontal_pole_layers_5-6b,FRP_6b,0,159,172,359,184,FRP
20001,Right_Tuberomammillary_nucleus_ventral_part,TMv,255,78,86,75500,557,TM
20002,Right_Primary_somatosensory_area_mouth_layer_6b,SSp-m6b,137,205,161,6200,345,SSp-m
20004,Right_Inferior_colliculus,IC,255,152,255,79100,339,MBsen
20006,Right_internal_capsule,int,204,204,204,107000,784,cst
20007,Right_Principal_sensory_nucleus_of_the_trigeminal,PSV,255,170,95,85300,1132,P-sen
20008,Right_Basic_cell_groups_and_regions,grey,176,255,255,100,997,root
20009,Right_Primary_somatosensory_area_trunk_layer_6a,SSp-tr6a,115,203,207,7500,361,SSp-tr
20010,Right_Superior_colliculus_motor_related_intermediate_gray_layer,SCig,255,178,248,81100,294,SCm
20012,Right_Interfascicular_nucleus_raph,IF,255,158,251,84100,165,RAmb
20014,Right_internal_medullary_lamina_of_the_thalamus,im,204,204,204,108200,896,lfbst
20015,Right_Parataenial_nucleus,PT,255,133,134,68100,571,MTN
20017,Right_Superior_colliculus_motor_related_intermediate_white_layer,SCiw,255,178,248,81000,294,SCm
20019,Right_Induseum_griseum,IG,114,254,114,41100,1080,HIP
20023,Right_Anterior_amygdalar_area,AAA,186,208,248,50100,278,sAMY
20026,Right_Superior_colliculus_motor_related_deep_gray_layer,SCdg,255,178,248,80800,294,SCm
20027,Right_Intergeniculate_leaflet_of_the_lateral_geniculate_complex,IGL,255,135,134,69100,1014,GENv
20030,Right_Periventricular_hypothalamic_nucleus_anterior_part,PVa,255,76,78,71600,157,PVZ
20033,Right_Primary_visual_area_layer_6a,VISp6a,85,168,178,16700,385,VISp
20035,Right_Oculomotor_nucleus,III,255,168,255,82800,323,MBmot
20036,Right_Gustatory_areas_layer_1,GU1,51,181,90,9200,1057,GU
20038,Right_Paraventricular_hypothalamic_nucleus,PVH,255,76,77,70500,157,PVZ
20041,Right_posteromedial_visual_area_layer_2/3,VISpm2/3,0,175,191,17800,533,VISpm
20042,Right_Superior_colliculus_motor_related_deep_white_layer,SCdw,255,178,248,80900,294,SCm
20050,Right_Precommissural_nucleus,PRC,255,144,255,81600,795,PAG
20056,Right_Nucleus_accumbens,ACB,160,232,224,48400,493,STRv
20059,Right_Intermediodorsal_nucleus_of_the_thalamus,IMD,255,144,164,67200,444,MED
20062,Right_medial_longitudinal_fascicle,mlf,204,204,204,99100,832,IIIn
20063,Right_Paraventricular_hypothalamic_nucleus_descending_division,PVHd,255,78,90,76200,467,MEZ_
20064,Right_Anterodorsal_nucleus,AD,255,136,135,66700,239,ATN
20066,Right_Lateral_terminal_nucleus_of_the_accessory_optic_tract,LT,255,177,253,83300,323,MBmot
20067,Right_Interstitial_nucleus_of_Cajal,INC,255,145,255,81700,795,PAG
20068,Right_Frontal_pole_layer_1,FRP1,121,161,59,700,184,FRP
20072,Right_Anterodorsal_preoptic_nucleus,ADP,255,77,81,72000,141,PVR
20073,Right_ventricular_systems,VS,170,170,170,115800,997,root
20074,Right_Lateral_visual_area_layer_6a,VISl6a,69,183,193,16000,409,VISl
20078,Right_middle_cerebellar_peduncle,mcp,204,204,204,105000,752,cbp
20081,Right_lateral_ventricle,VL,170,170,170,115900,73,VS
20083,Right_Inferior_olivary_complex,IO,255,212,189,93500,370,MY-mot
20084,Right_Prelimbic_area_layer_6a,PL6a,150,182,127,20600,972,PL
20088,Right_Anterior_hypothalamic_nucleus,AHN,255,78,81,74100,467,MEZ_
20091,Right_Interposed_nucleus,IP,240,240,82,63100,519,CBN
20093,Right_motor_root_of_the_trigeminal_nerve,moV,204,204,204,99700,901,Vn
20096,Right_Dorsal_cochlear_nucleus,DCO,255,155,205,90000,607,CN
20097,Right_Temporal_association_areas_layer_1,TEa1,0,140,110,28100,541,TEa
20100,Right_Interpeduncular_nucleus,IPN,255,158,247,84200,165,RAmb
20101,Right_Ventral_cochlear_nucleus,VCO,255,155,205,90100,607,CN
20105,Right_Superior_olivary_complex_medial_part,SOCm,255,170,94,86800,398,SOC
20106,Right_Inferior_salivatory_nucleus,ISN,255,212,190,93700,370,MY-mot
20113,Right_Primary_somatosensory_area_lower_limb_layer_2/3,SSp-ll2/3,0,183,155,5100,337,SSp-ll
20114,Right_Superior_olivary_complex_lateral_part,SOCl,255,170,94,86900,398,SOC
20115,Right_Trochlear_nucleus,IV,255,178,255,83000,323,MBmot
20117,Right_optic_chiasm,och,204,204,204,98700,848,IIn
20118,Right_Periventricular_hypothalamic_nucleus_intermediate_part,PVi,255,76,61,71700,157,PVZ
20120,Right_Agranular_insular_area_posterior_part_layer_1,AIp1,0,154,82,24100,111,AIp
20121,Right_Lateral_visual_area_layer_6b,VISl6b,107,192,203,16100,409,VISl
20122,Right_Superior_olivary_complex_periolivary_region,POR,255,170,94,86700,398,SOC
20125,Right_optic_tract,opt,204,204,204,98800,848,IIn
20126,Right_Periventricular_hypothalamic_nucleus_posterior_part,PVp,255,77,92,73400,141,PVR
20127,Right_Anteromedial_nucleus,AM,255,136,134,66400,239,ATN
20128,Right_Midbrain_reticular_nucleus,MRN,255,132,255,80300,323,MBmot
20129,Right_third_ventricle,V3,170,170,170,116500,73,VS
20131,Right_Lateral_amygdalar_nucleus,LA,80,255,88,47000,703,CTXsp
20132,Right_Prelimbic_area_layer_6b,PL6b,160,187,142,20700,972,PL
20133,Right_Periventricular_hypothalamic_nucleus_preoptic_part,PVpo,255,77,93,73500,141,PVR
20136,Right_Intermediate_reticular_nucleus,IRN,255,212,187,93600,370,MY-mot
20140,Right_cerebral_aqueduct,AQ,170,170,170,116600,73,VS
20143,Right_Nucleus_ambiguus_ventral_division,AMBv,255,212,212,93000,135,AMB
20145,Right_fourth_ventricle,V4,170,170,170,116700,73,VS
20146,Right_Pontine_reticular_nucleus,PRNr,255,172,120,89000,1117,P-sat
20147,Right_Locus_ceruleus,LC,255,172,118,88700,1117,P-sat
20148,Right_Gustatory_areas_layer_4,GU4,106,193,125,9400,1057,GU
20149,Right_Paraventricular_nucleus_of_the_thalamus,PVT,255,133,133,68000,571,MTN
20153,Right_lateral_recess,V4r,170,170,170,116800,145,V4
20155,Right_Lateral_dorsal_nucleus_of_thalamus,LD,255,136,128,67000,239,ATN
20156,Right_Dorsal_auditory_area_layer_6a,AUDd6a,113,190,176,11100,1011,AUDd
20158,Right_posterior_commissure,pc,204,204,204,99200,832,IIIn
20159,Right_Anterior_olfactory_nucleus,AON,144,255,184,31000,698,OLF
20162,Right_Laterodorsal_tegmental_nucleus,LDT,255,172,117,88800,1117,P-sat
20163,Right_Agranular_insular_area_posterior_part_layer_2/3,AIp2/3,20,160,94,24200,111,AIp
20164,Right_central_canal_spinal_cord/medulla,c,170,170,170,116900,73,VS
20169,Right_Nucleus_prepositus,PRP,255,212,219,95400,154,PHY
20170,Right_Dorsal_part_of_the_lateral_geniculate_complex,LGd,255,112,161,65500,1008,GENd
20171,Right_Prelimbic_area_layer_1,PL1,83,150,66,20200,972,PL
20173,Right_Retrochiasmatic_area,RCH,255,79,84,77800,290,LZ
20177,Right_Nucleus_of_Roller,NR,255,212,221,95300,154,PHY
20178,Right_Ventral_part_of_the_lateral_geniculate_complex,LGv,255,135,135,69200,1014,GENv
20180,Right_Gustatory_areas_layer_2/3,GU2/3,82,187,112,9300,1057,GU
20181,Right_Nucleus_of_reunions,RE,255,133,132,68200,571,MTN
20186,Right_Lateral_habenula,LH,255,135,144,69800,958,EPI
20187,Right_Gustatory_areas_layer_5,GU5,127,200,138,9500,1057,GU
20188,Right_Accessory_olfactory_bulb_glomerular_layer,AOBgl,140,235,156,30700,151,AOB
20189,Right_Rhomboid_nucleus,RH,255,128,132,68400,51,ILM
20190,Right_pyramid,py,204,204,204,107600,784,cst
20194,Right_Lateral_hypothalamic_area,LHA,255,79,81,77300,290,LZ
20196,Right_Accessory_olfactory_bulb_granular_layer,AOBgr,110,205,126,30800,151,AOB
20197,Right_Rostral_linear_nucleus_raph,RL,255,158,249,84300,165,RAmb
20201,Right_Primary_somatosensory_area_barrel_field_layer_2/3,SSp-bfd2/3,19,186,171,4400,329,SSp-bfd
20202,Right_Medial_vestibular_nucleus,MV,255,216,201,96100,701,VNC
20203,Right_Linear_nucleus_of_the_medulla,LIN,255,212,191,93800,370,MY-mot
20204,Right_Accessory_olfactory_bulb_mitral_layer,AOBmi,130,225,146,30900,151,AOB
20206,Right_Nucleus_raph_magnus,RM,255,176,193,96900,379,MY-sat
20207,Right_Area_postrema,AP,255,176,178,89600,386,MY-sen
20209,Right_Lateral_vestibular_nucleus,LAV,255,214,201,96000,701,VNC
20210,Right_Lateral_mammillary_nucleus,LM,255,78,83,74700,331,MBO
20211,Right_Anterior_cingulate_area_dorsal_part_layer_2/3,ACAd2/3,116,175,88,19100,39,ACAd
20214,Right_Red_nucleus,RN,255,134,249,82700,323,MBmot
